variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
kg13a_s_3,所有求职渠道：选择3,23665,-7.980731,1.0083159,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,77.070793,6410.5781
kg13a_s_4,所有求职渠道：选择4,23665,-7.9989438,.11500316,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,109.02387,11905.989
kg13a_s_5,所有求职渠道：选择5,23665,-7.9994507,.084506497,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,153.82457,23663
kg13a_a_1,求职渠道：是否自己直接与用人单位联系,23665,-6.8256922,2.9016733,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,2.0770497,5.3463755
kg13a_a_2,求职渠道：是否职业介绍机构、招聘广告、自己登求职,23665,-6.8411999,2.8622093,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,2.0737562,5.3270583
kg13a_a_3,求职渠道：是否国家分配/组织调动,23665,-6.8664694,2.7965288,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,2.0633326,5.2625718
kg13a_a_4,求职渠道：是否亲属、朋友或熟人介绍,23665,-6.813015,2.9334776,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,2.0782397,5.3527107
kg13a_a_5,求职渠道：是否学校就业指导机构，或学校推荐,23665,-6.8674836,2.7938557,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,2.0627668,5.2589951
kg13a_a_77,求职渠道：是否选择其他,23665,-6.8623705,2.8073025,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,2.0654962,5.2761912
kg1301,获得工作主要渠道,23665,-7.9462075,.76383239,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,14.394116,211.94872
kg1302,胜任工作的教育程度,23665,-6.0266218,4.9687886,-8,-8,-8,-8,-8,-8,-8,4,6,11,11,2.2497685,6.467267
qg1303,是否获得他人帮助,23665,-6.8255229,2.9021001,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,2.0770743,5.3465128
qg1304,帮助大小,23665,-7.5597296,2.0317152,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,4.419538,20.63769
qg1305,与帮助者关系,23665,-7.0585251,6.2014031,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,77,11.135402,146.3967
qg14,行政管理职务,23665,-4.7888441,3.9774861,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.43741384,1.2049457
qg15,工作晋级,23665,20.362688,40.215225,-8,-8,-8,-8,-8,-8,78,79,79,79,79,.74642462,1.5654263
qg1501,希望晋级内容,23665,1.4084513,24.465868,-8,-8,-8,-8,-8,-8,-8,5,78,78,78,2.7259073,8.6867075
qg16,工作单位规模(人),23665,502.48697,7769.103,-8,-8,-8,-8,-8,-8,20,200,600,6000,370000,30.504215,1075.2072
qg17,有直接下属,23665,-2.2795267,6.2410855,-8,-8,-8,-8,-8,-8,5,5,5,5,5,.2135967,1.1034826
qg1701,管理人员规模(人),23665,-5.929347,47.444538,-8,-8,-8,-8,-8,-8,-8,-8,4,25,7000,136.70529,20100.686
qg18,使用外语,23665,-4.262455,4.0287533,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.15440863,1.0332192
qg19,使用计算机,23665,-4.0671034,4.2500219,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.16803199,1.0536137
qg20,工作场所,23665,-1.2715403,11.855835,-8,-8,-8,-8,-8,-8,3,5,5,77,77,4.9625597,33.226219
qg22,生意的主要资金来源,23665,-6.9023876,6.5052719,-8,-8,-8,-8,-8,-8,-8,-8,1,3,77,11.210648,142.87752
qg1202,工作总收入校验,23665,-7.4001269,2.5694396,-9,-8,-8,-8,-8,-8,-8,-8,1,5,5,4.1647625,18.800932
qg1203,非经营税后总收入(元/年),23665,5100.3779,22012.248,-8,-8,-8,-8,-8,-8,-8,2000,40000,100000,1000000,10.494292,259.05258
qg1204_min,非经营税后总收入区间最低值（工作总收入校验值）,23665,45.258991,1680.1731,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,100000,40.901169,1980.3544
qg1204_max,非经营税后总收入区间最高值（工作总收入校验值）,23665,92.584915,3541.7954,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,250000,52.926254,3353.7524
qg1204_est,非经营税后总收入区间最低值（工作总收入校验值）-,23665,64.696053,2541.7197,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,175000,50.887466,3096.6924
kg23,离职原因,23665,-4.9617157,13.431149,-8,-8,-8,-8,-8,-8,-8,-8,10,77,77,5.4986525,33.300236
qi101,是否办理退休手续,27001,-5.1615124,3.8467333,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.61985773,1.3901923
qi1011,是否办理养老金领取手续,27001,-6.0857005,3.4599705,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.2607601,2.6063585
qi102y,办理手续年份（年）,23665,68.399658,385.78671,-8,-8,-8,-8,-8,-8,-8,-8,-8,2021,2022,4.8548775,24.570097
qi102m,办理手续月份（月）,23665,-7.4321151,2.7897444,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,12,5.1648965,29.525824
qi200,是否有领取离退休金,23665,-4.250412,4.0568042,-8,-8,-8,-8,-8,-8,0,0,1,1,1,.16434243,1.0416436
qi2001,是否有领取养老保险,23665,-4.1541095,4.1674557,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.17313725,1.055493
qi202,税后领退休金数额(元/月),23665,285.27835,1096.406,-8,-8,-8,-8,-8,-8,-8,205,2500,5000,51400,9.0902519,243.06343
qi203_max,税后领退休金区间上限,23665,-4.3703361,115.33994,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,10000,48.871529,3151.6155
qi203_min,税后领退休金区间下限,23665,-6.6313968,53.198391,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5000,57.562912,4235.8643
qi203_est,税后领退休金-估计值,23665,-7.9986477,.1040014,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,76.897659,5914.25
qi301_s_1,参保项目：选择1,23665,20.031269,34.859966,-8,-8,-8,-8,-8,5,77,78,78,78,78,1.0070429,2.1306651
qi301_s_2,参保项目：选择2,23665,-7.3225861,5.0041537,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,77,13.79128,225.95357
qi301_s_3,参保项目：选择3,23665,-7.8987112,1.5247869,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,33.193974,1659.5194
qi301_s_4,参保项目：选择4,23665,-7.9817028,.4939234,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,7,27.372526,760.36414
qi301_s_5,参保项目：选择5,23665,-7.995183,.26240769,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,7,54.630524,2994.8013
qi301_s_6,参保项目：选择6,23665,-7.9981828,.16146225,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,7,88.945488,7921.189
qi301_s_7,参保项目：选择7,23665,-7.9987321,.13789351,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,7,108.7635,11830.5
qi301_a_1,参保项目：是否离退休后从所在机关或事业单位领取离,23665,-2.3099937,3.6646523,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.90316314,1.8291191
qi301_a_2,参保项目：是否参保基本养老保险,23665,-2.1945066,3.750387,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.88262892,1.8239934
qi301_a_3,参保项目：是否参保企业补充养老保险,23665,-2.3195436,3.6573095,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.90545362,1.8294668
qi301_a_4,参保项目：是否参保商业养老保险,23665,-2.3249948,3.6531005,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.90680522,1.8296561
qi301_a_5,参保项目：是否参保农村养老保险（老农保）,23665,-2.2817664,3.686126,-8,-8,-8,-8,-8,0,0,0,1,1,1,-.89695287,1.8279915
qi301_a_6,参保项目：是否参保新型农村社会养老保险（新农保）,23665,-2.17135,3.7669168,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.87995809,1.8229094
qi301_a_7,参保项目：是否参保城镇居民养老保险,23665,-2.2978661,3.6739204,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.90039396,1.8286514
qi301_a_77,参保项目：是否参保其他,23665,-2.3219945,3.6554186,-8,-8,-8,-8,-8,0,0,0,0,1,1,-.9060573,1.8295528
qi301_a_78,参保项目：是否以上都没有,23665,-2.0968943,3.8186295,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.87423116,1.8196942
xchildpid_a_1,受访者子女1（F模块）,23665,70309072,158152880,-8,-8,-8,-8,-8,-8,-8,370297216,441390112,620878080,621865088,2.1493235,6.3443856
xchildpid_a_2,受访者子女2（F模块）,23665,53162988,142826224,-8,-8,-8,-8,-8,-8,-8,311099200,430344192,620650112,858776448,2.6647973,8.9246864
xchildpid_a_3,受访者子女3（F模块）,23665,25094364,103196496,-8,-8,-8,-8,-8,-8,-8,-8,230064208,530300192,777018432,4.2663159,20.504763
xchildpid_a_4,受访者子女4（F模块）,23665,9020046,62993792,-8,-8,-8,-8,-8,-8,-8,-8,-8,411548192,621778176,7.3901186,58.63694
xchildpid_a_5,受访者子女5（F模块）,23665,2464809.8,32863750,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,621269376,14.149948,211.02135
xchildpid_a_6,受访者子女6（F模块）,23665,656140.38,16970216,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,620309184,27.408297,786.59351
xchildpid_a_7,受访者子女7（F模块）,23665,89406.609,6958361.5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,620126208,79.88842,6523.8564
xchildpid_a_8,受访者子女8（F模块）,23665,44434.82,4895809,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,610042240,112.76304,12983.329
qk5,向谁诉说烦恼,23665,-6.9062753,4.3149352,-8,-8,-8,-8,-8,-8,-8,-8,2,9,77,8.5592232,138.36723
qk6,你和谁在一起,23665,-7.1419396,2.848438,-8,-8,-8,-8,-8,-8,-8,-8,2,4,5,3.0731122,10.654393
qk7m,你有零花钱吗,23665,-7.1567717,2.8243632,-8,-8,-8,-8,-8,-8,-8,-8,1,5,5,3.1823616,11.654867
qk701m,每月零花钱数（元/月）,23665,-1.3007395,44.28046,-8,-8,-8,-8,-8,-8,-8,-8,20,200,1500,13.635002,274.21671
qk702,零花钱最主要的来源,23665,-7.3316288,3.5844126,-8,-8,-8,-8,-8,-8,-8,-8,1,1,77,15.176875,338.80771
qk703,自觉零花钱合适数(元/月),23665,.8280583,65.608284,-8,-8,-8,-8,-8,-8,-8,-8,30,200,5000,31.123924,1775.2463
wl6,是否乘坐过火车,23665,-7.4521022,2.0629869,-8,-8,-8,-8,-8,-8,-8,-8,0,1,1,3.5131471,13.398978
wl7,是否乘坐过飞机,23665,-7.3486586,2.1973906,-8,-8,-8,-8,-8,-8,-8,-8,0,0,1,3.0808337,10.506528
qu201,是否移动上网,23665,.58516794,1.1737313,-8,-8,0,0,0,1,1,1,1,1,1,-6.1707931,45.146969
qu202,是否电脑上网,23665,.10327488,1.1092989,-8,-8,0,0,0,0,0,1,1,1,1,-6.0399394,45.102005
qu201a,移动设备上网时长（分钟）,23665,130.63385,168.39101,-8,-8,-8,-8,-8,90,180,360,480,720,1440,2.027849,8.9776001
qu202a,电脑上网时长（分钟）,23665,28.347391,104.95314,-8,-8,-8,-8,-8,-8,-8,120,240,480,1400,3.8414237,19.146832
qu91,是否玩网络游戏,23665,-2.0916121,3.7604227,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.91138798,1.8842247
qu911,是否每天玩网络游戏,23665,-6.3421931,3.3433309,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,1.5314591,3.3726435
qu92,是否网上购物,23665,-1.8824847,3.8962858,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.90838462,1.8781151
qu921,是否每天网上购物,23665,-4.7058525,3.9793959,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.38492844,1.158775
qu93,是否看短视频,23665,-1.6664273,4.0204473,-8,-8,-8,-8,-8,1,1,1,1,1,1,-.93071836,1.8860865
qu931,是否每天看短视频,23665,-2.5399535,4.2586589,-8,-8,-8,-8,-8,0,1,1,1,1,1,-.49010172,1.2633615
qu94,是否网络学习,23665,-2.0861609,3.7646003,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.91063833,1.8834935
qu941,是否每天网络学习,23665,-6.2898374,3.3865449,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,1.4859058,3.2349198
qu5,是否在网上学习,23665,-2.1743081,3.7037547,-8,-8,-8,-8,-8,0,0,1,1,1,1,-.9202109,1.8869342
qu501,网上学习时间（分钟）,23665,1.816311,37.648117,-8,-8,-8,-8,-8,-8,-8,30,60,180,720,6.586905,65.351486
qu11,是否使用微信,23665,.67910415,1.1786987,-8,-8,0,0,1,1,1,1,1,1,1,-6.5123239,47.85136
qu111,朋友圈分享频率,23665,2.8947392,5.5054555,-8,-8,-8,-8,3,5,7,7,7,7,7,-1.3124144,3.0422723
qu951,网络对工作重要性,23665,1.6630889,4.4895773,-8,-8,-8,-8,1,3,5,5,5,5,5,-1.4957895,3.6573439
qu952,网络对休闲娱乐重要性,23665,1.6057892,4.4160018,-8,-8,-8,-8,2,3,4,5,5,5,5,-1.5609567,3.8002203
qu953,网络对与家人和朋友保持联系重要性,23665,2.3030636,4.6684551,-8,-8,-8,-8,3,4,5,5,5,5,5,-1.6732442,3.9827731
qu954,网络对学习重要性,23665,1.8343968,4.5218835,-8,-8,-8,-8,2,4,5,5,5,5,5,-1.5666791,3.7893755
qu955,网络对日常生活重要性,23665,1.6965139,4.4974093,-8,-8,-8,-8,1,3,5,5,5,5,5,-1.50676,3.6787949
qm2011,人缘关系有多好(分),23665,6.7701669,2.7390521,-8,-8,3,5,5,7,8,10,10,10,10,-2.7590408,15.571576
qm2016,有多幸福(分),23665,7.217494,2.9019034,-8,-8,3,5,6,8,9,10,10,10,10,-2.6764116,14.173365
qm3n,生活有意义（分）,23665,7.1430383,2.9010532,-8,-8,3,5,6,8,9,10,10,10,10,-2.6489153,14.019839
qm6,大部分人乐于助人还是自私,23665,1.9113458,2.2276993,-8,-8,1,1,1,1,5,5,5,5,5,-.90636086,8.0076599
qn1001,喜欢信任还是怀疑别人,23665,2.5371647,2.4374144,-8,-8,1,1,1,1,5,5,5,5,5,-1.1626761,6.8260703
qn10021,对父母的信任度,23665,8.9650965,2.7864857,-8,-8,5,7,9,10,10,10,10,10,10,-4.589994,26.487288
qn10022,对邻居的信任度,23665,6.3193746,2.9196486,-8,-8,2,4,5,7,8,10,10,10,10,-2.2100499,11.598469
qn10023,对美国人的信任度,23665,1.7581238,2.754518,-8,-8,0,0,0,1,4,5,6,9,10,.017869901,4.971971
qn10024,对陌生人的信任度,23665,2.4513838,2.6827424,-8,-8,0,0,0,3,5,5,6,8,10,-.71050805,5.5225286
qn10025,对本地政府官员的信任度,23665,5.3826747,3.1970084,-8,-8,0,2,4,5,8,9,10,10,10,-1.37322,6.9154854
qn10026,对医生的信任度,23665,6.7745194,3.0790164,-8,-8,2,4,5,7,9,10,10,10,10,-2.2346587,10.898465
qm1001,子女善待父母,23665,-4.2890344,5.686698,-8,-8,-8,-8,-8,-8,3,5,5,5,5,.89731365,1.8380362
qm1002,子女达成父母心愿,23665,-4.6016903,5.239584,-8,-8,-8,-8,-8,-8,2,4,5,5,5,.93651235,1.9648651
qm1003,儿子和父母住在一起,23665,-4.695035,5.1002049,-8,-8,-8,-8,-8,-8,1,4,5,5,5,.94311041,1.9903953
qm1004,至少生一个儿子,23665,-4.6847668,5.1305652,-8,-8,-8,-8,-8,-8,1,4,5,5,5,.9596585,2.0408115
qm1005,光宗耀祖,23665,-4.4900908,5.4048014,-8,-8,-8,-8,-8,-8,2,5,5,5,5,.92551404,1.9251215
qm1006,回家探望父母,23665,-4.2733574,5.7082949,-8,-8,-8,-8,-8,-8,4,5,5,5,5,.89289075,1.8241721
wv102,公平竞争才有和谐人际,23665,-4.6973591,5.0983586,-8,-8,-8,-8,-8,-8,3,3,4,4,5,.90722054,1.8466834
wv103,财富反映个人成就,23665,-4.7399111,5.0358591,-8,-8,-8,-8,-8,-8,2,3,3,4,5,.91026902,1.8556899
wv104,努力工作能有回报,23665,-4.7024722,5.0905013,-8,-8,-8,-8,-8,-8,3,3,4,4,5,.90657741,1.844928
wv105,聪明才干能得回报,23665,-4.709867,5.0776424,-8,-8,-8,-8,-8,-8,3,3,4,4,5,.90471578,1.8389605
wv106,成大事难免腐败,23665,-4.9034438,4.7938414,-8,-8,-8,-8,-8,-8,2,3,3,4,5,.92505628,1.906037
wv107,有关系比有能力重要,23665,-4.7699132,4.9921174,-8,-8,-8,-8,-8,-8,2,3,3,4,5,.91393369,1.8688878
wv108,提高生活水平机会很大,23665,-4.7454047,5.026464,-8,-8,-8,-8,-8,-8,2,3,3,4,5,.90769744,1.8473758
wv101,经济繁荣要拉大收入差距,23665,-4.8893723,4.8143721,-8,-8,-8,-8,-8,-8,2,3,3,4,5,.92123258,1.8919283
qm501a,男女社会压力比较,23665,3.4780478,2.3983989,-8,-8,1,1,1,5,5,5,5,5,5,-2.3274972,10.815067
qn12012,对自己生活满意度,23665,3.7721107,1.8982973,-8,-8,2,3,3,4,5,5,5,5,5,-4.6995897,29.35523
qn12016,对自己未来信心程度,23665,3.8517642,1.9234416,-8,-8,2,3,3,4,5,5,5,5,5,-4.6683426,28.798752
qn8011,您的收入在本地,23665,12.945151,26.121489,-8,-8,1,1,2,3,4,79,79,79,79,2.1181483,5.5351095
qn8012,您的地位,23665,2.7618001,1.8802497,-8,-8,1,1,2,3,4,5,5,5,5,-3.6278808,21.66226
qms1,固定型思维1,23665,1.6683288,3.5429468,-8,-8,-8,-8,1,3,4,5,5,5,5,-1.9712627,5.9338903
qms2,固定型思维2,23665,1.7950983,3.5650256,-8,-8,-8,-8,1,3,4,5,5,5,5,-2.036648,6.0830998
qms3,发展型思维1,23665,2.2854426,3.6942775,-8,-8,-8,-8,3,3,4,5,5,5,5,-2.1570845,6.3740954
qms4,发展型思维2,23665,2.354701,3.7235014,-8,-8,-8,-8,3,3,4,5,5,5,5,-2.1542983,6.3522406
qm20,领袖气质,23665,-6.9387279,3.5148263,-8,-8,-8,-8,-8,-8,-8,-8,5,5,5,3.030587,10.24176
qme201,为了年老时有人帮助,23665,-5.420114,4.6700335,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.2718273,2.6501656
qme202,为了延续家族香火,23665,-5.4548068,4.6088457,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.2744968,2.6617162
qme203,为从经济上帮助家庭,23665,-5.5118952,4.5074916,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.2782142,2.6787865
qme204,为看孩子长大的喜悦,23665,-5.367547,4.7586665,-8,-8,-8,-8,-8,-8,-8,3,4,4,5,1.2625021,2.612802
qme205,为子女在身边的快乐,23665,-5.3671246,4.7596846,-8,-8,-8,-8,-8,-8,-8,3,4,4,5,1.2629403,2.6147661
qme206,为感受有宝宝的喜悦,23665,-5.3699136,4.7548141,-8,-8,-8,-8,-8,-8,-8,3,4,4,5,1.2630898,2.6151659
qme207,为使家庭更重要,23665,-5.3917179,4.7177377,-8,-8,-8,-8,-8,-8,-8,3,4,4,5,1.2659318,2.6260843
qme208,为增强责任心,23665,-5.3941684,4.7118058,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.2637463,2.6172698
qme209,为增加亲属联系,23665,-5.4192266,4.6687965,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.2670144,2.6302359
qn4001,是否是党员,27001,-1.5927929,3.2121284,-8,-8,-8,-8,0,0,0,0,0,1,1,-1.4895856,3.2293808
qn402,入党时间（年）,23665,16.281343,220.32368,-8,-8,-8,-8,-8,-8,-8,-8,-8,2011,2022,8.9636707,81.349998
qn4002,是否是团员,23665,-.82763577,2.6393702,-8,-8,-8,-8,0,0,0,1,1,1,1,-2.3006852,6.4542809
qn4004,是否是宗教信仰团体成员,23665,-.14557363,1.1712247,-8,-8,0,0,0,0,0,0,0,1,1,-6.4103737,43.188152
qn4003,是否是工会成员,23665,-.76598352,2.4993408,-8,-8,-8,-8,0,0,0,0,1,1,1,-2.5072517,7.4325871
qn4005,是否是个体劳动者协会成员,23665,-.80431014,2.4794521,-8,-8,-8,-8,0,0,0,0,0,1,1,-2.5344732,7.506238
qn1101,对本县市政府评价,23665,1.3561378,3.3629377,-8,-8,-8,-8,2,2,3,4,4,5,5,-2.1598489,6.4278455
qn6012,环境保护,23665,-3.8308051,6.555378,-8,-8,-8,-8,-8,-8,3,7,8,10,10,1.0315886,2.2484384
qn6013,贫富差距,23665,-3.5886753,6.8999238,-8,-8,-8,-8,-8,-8,5,8,10,10,10,.99943167,2.1405418
qn6014,就业问题,23665,-3.684006,6.7564015,-8,-8,-8,-8,-8,-8,5,8,9,10,10,1.0035064,2.1536531
qn6015,教育问题,23665,-3.7198393,6.7305503,-8,-8,-8,-8,-8,-8,4,8,10,10,10,1.027644,2.225374
qn6016,医疗问题,23665,-3.7166278,6.7320733,-8,-8,-8,-8,-8,-8,4,8,10,10,10,1.0263149,2.2243693
qn6017,住房问题,23665,-3.8131418,6.588099,-8,-8,-8,-8,-8,-8,3,8,9,10,10,1.0335482,2.2499309
qn6018,社会保障,23665,-3.8914008,6.466095,-8,-8,-8,-8,-8,-8,3,7,8,10,10,1.0372306,2.2688966
qn6011,政府腐败,23665,-3.8752589,6.5185986,-8,-8,-8,-8,-8,-8,3,7,9,10,10,1.0585337,2.3310175
qn6019,养老,23665,5.0315232,5.1805816,-8,-8,-8,-8,4,6,8,10,10,10,10,-1.5198809,4.4805689
qn6020,托幼,23665,4.3246989,4.9957089,-8,-8,-8,-8,3,5,8,10,10,10,10,-1.3906462,4.2383285
qn7,村/居委会选举投票,23665,2.1460807,3.9584451,-8,-8,-8,-8,1,5,5,5,5,5,5,-1.5957677,4.7156982
qd5,购买福利住房,23665,-.83815759,2.4666996,-8,-8,-8,-8,0,0,0,0,0,0,1,-2.553406,7.5403295
qd501,购买福利房年份,23665,9.7934084,188.47293,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2022,10.499949,111.25254
qp101,当前身高（厘米）,23665,159.48857,28.636711,-8,-8,145,150,158,164,170,175,178,183,210,-5.04111,29.567451
qp102,当前体重（斤）,23665,120.65763,32.698757,-8,-8,74,90,105,120,140,160,170,190,260,-1.1326218,7.1082821
qa101,出生时的体重(斤),23665,-7.8861399,1.1142068,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1,10,10.814276,127.74077
qp103,习惯用手,23665,3.0161419,4.4654307,-8,-8,-8,-8,5,5,5,5,5,5,5,-1.9793864,5.080287
qp201,健康状况,27001,2.6347172,1.9224427,-8,-8,1,1,2,3,3,5,5,5,5,-3.0657001,18.411356
qp202,健康变化情况,23665,3.023072,2.0670533,-8,-8,1,1,3,3,5,5,5,5,5,-3.2079501,18.02416
qp301,过去两周身体是否不适,23665,-.61584616,2.5765877,-8,-8,-8,-8,0,0,0,1,1,1,1,-2.429332,7.1905422
qp303,您觉得病伤程度,23665,-5.4267483,4.7248378,-8,-8,-8,-8,-8,-8,-8,3,5,5,5,1.336989,2.8916965
qp304,看过医生吗,23665,-5.546165,4.5587029,-8,-8,-8,-8,-8,-8,-8,1,5,5,5,1.4229182,3.2653925
qp401,半年内是否有慢性疾病,23665,-.70940208,2.5353532,-8,-8,-8,-8,0,0,0,1,1,1,1,-2.4637737,7.289156
qc401,过去12个月是否因病住院,23665,-.080456369,1.2229979,-8,-8,0,0,0,0,0,0,1,1,1,-5.9008307,38.697807
qc7a,住院总费用（元）,23665,1623.2435,11143.903,-8,-8,-8,-8,-8,-8,-8,-8,7000,38000,400000,15.869588,367.14618
qc7b,其他伤病花费（元）,23665,1412.5377,7618.4067,-8,-8,-8,-8,0,0,1000,3000,6000,20000,800000,54.773342,5213.0625
metotal,医疗总花费,23666,3043.1174,14254.421,-8,-8,-8,0,0,50,1000,6000,13000,52000,800000,17.618841,595.79993
qc701,医疗费用自付花费（元）,23665,1899.6305,8724.7949,-8,-8,-8,-8,-8,0,1000,4000,8000,32000,500000,19.269457,705.68781
qq701a,近一年您生病时谁照顾,23665,5.5519967,7.9441037,-8,-8,1,1,2,3,9,10,10,10,77,6.2834659,57.759483
qp601,一般去哪里看病,23665,1.6274667,3.6710114,-8,-8,-8,-8,1,2,4,5,5,5,5,-1.7102462,5.2105556
qp602,对看病点条件满意度,23665,2.5035284,3.7865303,-8,-8,-8,-8,3,4,4,5,5,5,5,-2.3008478,6.6018114
qp603,看病点医疗水平,23665,2.4000845,3.7813821,-8,-8,-8,-8,3,4,4,5,5,5,5,-2.2265837,6.3947892
qp605_s_1,医疗保险类型：选择1,23665,7.9519119,19.508291,-8,-8,-8,-8,2,5,5,6,78,78,78,3.1346152,11.5502
qp605_s_2,医疗保险类型：选择2,23665,-7.5219522,2.3559661,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,6,4.7905493,24.269144
qp605_s_3,医疗保险类型：选择3,23665,-7.9506865,.77358812,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,15.815309,254.06505
qp605_s_4,医疗保险类型：选择4,23665,-7.988802,.37815791,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,34.120693,1176.7465
qp605_s_5,医疗保险类型：选择5,23665,-7.9979715,.15842129,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,80.187057,6573.269
qp605_a_1,享有哪些医疗保险：公费医疗,23665,-.95761675,2.6285453,-8,-8,-8,-8,0,0,0,0,0,1,1,-2.2971365,6.3070688
qp605_a_2,享有哪些医疗保险：城镇职工医疗保险,23665,-.79966193,2.7101281,-8,-8,-8,-8,0,0,0,1,1,1,1,-2.2183518,6.1185632
qp605_a_3,享有哪些医疗保险：城镇居民医疗保险（含一老一小保,23665,-.91202199,2.6533179,-8,-8,-8,-8,0,0,0,0,1,1,1,-2.2687826,6.2417202
qp605_a_4,享有哪些医疗保险：补充医疗保险,23665,-.9521234,2.6315842,-8,-8,-8,-8,0,0,0,0,0,1,1,-2.2934535,6.2986965
qp605_a_5,享有哪些医疗保险：新型农村合作医疗,23665,-.48949927,2.8381042,-8,-8,-8,-8,0,0,1,1,1,1,1,-2.1886084,6.0205326
qp605_a_6,享有哪些医疗保险：城乡居民基本医疗保险,23665,-.89076698,2.664521,-8,-8,-8,-8,0,0,0,0,1,1,1,-2.2572157,6.2143946
qp605_a_78,享有哪些医疗保险：以上都没有,23665,-.90678215,2.6560998,-8,-8,-8,-8,0,0,0,0,1,1,1,-2.265837,6.2348022
qp701n,锻炼身体的频率（次）,23665,5.9270229,3.0514448,-8,-8,2,3,4,8,8,8,8,8,8,-2.2851155,10.190834
qp702n,锻炼时长（分钟）,23665,19.694613,40.13063,-8,-8,-8,-8,-8,-8,40,60,90,180,300,2.1743941,10.616816
qp801n,蛋白质摄入,23665,.73103738,1.3428663,-8,-8,0,1,1,1,1,1,1,1,1,-6.1365762,39.882275
qp802n,蔬果摄入,23665,.78436512,1.3325294,-8,-8,1,1,1,1,1,1,1,1,1,-6.3912234,42.142822
qq201,过去一月您吸烟吗,23665,.057806887,1.2889785,-8,-8,0,0,0,0,0,1,1,1,1,-5.3588367,34.143879
qq202,每天吸烟量（支）,23665,-2.8604691,10.254831,-8,-8,-8,-8,-8,-8,-8,15,20,30,100,2.0454082,7.2461586
qq204,是否曾经吸烟,23665,-1.9905345,3.5613756,-8,-8,-8,-8,-8,0,0,0,1,1,1,-1.0807031,2.2028892
qq2011,开始吸烟年龄（岁）,23665,-7.0179167,5.2285104,-8,-8,-8,-8,-8,-8,-8,-8,-8,20,65,5.5761662,35.622414
