variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
lastyjob_cur,CFPS2020之后产生的最近一份工作是否延续到,23665,-5.0723853,4.2164388,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.74585152,1.5562944
jobstartn,EHC回忆时段内开始新工作份数,23665,-1.7076695,3.9030015,-8,-8,-8,-8,-8,0,1,1,3,4,8,-.87518835,2.0677357
jobclass_base_2020,2020主要工作（若不再是2022主要工作，则变,23665,-6.6155505,3.7165017,-8,-8,-8,-8,-8,-8,-8,2,4,4,4,2.3450835,6.5864215
jobclass_2020,2020主要工作（若不再是2022主要工作，则变,23665,-6.6155505,3.7165017,-8,-8,-8,-8,-8,-8,-8,2,4,4,4,2.3450835,6.5864215
mincomea_b_1,2020主要工作（若不再是2022主要工作，则变,23665,150.50128,1218.2023,-8,-8,-8,-8,-8,-8,-8,-8,-8,5500,80000,23.325798,1105.7639
yincomea_b_1,2020主要工作（若不再是2022主要工作，则变,23665,685.05542,7200.894,-8,-8,-8,-8,-8,-8,-8,-8,-8,24000,627000,35.612671,2544.7632
mincomea_a_1,一般工作1的税后月收入,23665,250.50987,1752.9932,-8,-8,-8,-8,-8,-8,-8,-8,1500,6000,120000,31.390781,1678.7183
yincomea_a_1,一般工作1的税后年收入,23665,1625.1547,15334.146,-8,-8,-8,-8,-8,-8,-8,-8,6000,42000,1320000,53.070747,4067.5654
jobclass_base_a_1,一般工作1的类型（base）,23665,-6.8091698,3.4887545,-8,-8,-8,-8,-8,-8,-8,1,4,4,4,2.6178205,7.9356461
jobclass_a_1,一般工作1的工作类型,23665,-6.797338,3.5250123,-8,-8,-8,-8,-8,-8,-8,1,4,4,5,2.621758,7.9631996
lastyjob_comm_a_1,一般工作1是否延续到最近一年,23665,-7.0717516,2.7081389,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,2.5812714,7.6829252
mincomea_a_2,一般工作2的税后月收入,23665,44.658146,658.0719,-8,-8,-8,-8,-8,-8,-8,-8,-8,1500,40000,25.105501,1029.0973
yincomea_a_2,一般工作2的税后年收入,23665,254.32884,4251.1519,-8,-8,-8,-8,-8,-8,-8,-8,-8,2100,360000,39.665916,2561.3447
jobclass_base_a_2,一般工作2的类型（base）,23665,-7.8026199,1.4988309,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,4,7.5044088,57.597176
jobclass_a_2,一般工作2的工作类型,23665,-7.8008451,1.5126297,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,5,7.5087509,57.68047
lastyjob_comm_a_2,一般工作2是否延续到最近一年,23665,-7.8485951,1.1470727,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,7.4574132,56.708015
mincomea_a_3,一般工作3的税后月收入,23665,4.858314,268.0022,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,12500,25.051426,729.90308
yincomea_a_3,一般工作3的税后年收入,23665,55.386814,1659.4512,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,112500,38.25724,1809.277
jobclass_base_a_3,一般工作3的类型（base）,23665,-7.951067,.75298977,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,15.387218,238.63029
jobclass_a_3,一般工作3的工作类型,23665,-7.9505177,.76163101,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,15.397851,239.05675
lastyjob_comm_a_3,一般工作3是否延续到最近一年,23665,-7.9624763,.57642287,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,15.315008,235.81485
mincomea_a_4,一般工作4的税后月收入,23665,-5.3965774,116.01733,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8000,51.024422,2859.238
yincomea_a_4,一般工作4的税后年收入,23665,-1.5583351,391.19424,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,45000,88.866066,9040.6064
jobclass_base_a_4,一般工作4的类型（base）,23665,-7.9884639,.36356238,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,31.708113,1012.5646
jobclass_a_4,一般工作4的工作类型,23665,-7.9882951,.36932302,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,31.81687,1021.6939
lastyjob_comm_a_4,一般工作4是否延续到最近一年,23665,-7.9911261,.27885661,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,31.464161,993.11761
mincomea_a_5,一般工作5的税后月收入,23665,-6.7045846,83.479507,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8000,72.275406,5652.4722
yincomea_a_5,一般工作5的税后年收入,23665,-3.5015423,316.60733,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,35000,83.218864,7756.3364
jobclass_base_a_5,一般工作5的类型（base）,23665,-7.9959855,.21838838,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,54.421627,2964.7205
jobclass_a_5,一般工作5的工作类型,23665,-7.9958167,.22766952,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,54.487331,2974.5488
